#
# Output file generated by Yacora 1.5.0
# =====================================
#   Filename: 'YacoraRun_PopCoeff_B1Sigma.dat'
#   Date of creation: 13. April 2022
#   Time of creation: 06:32:53
#   Used input file: 'H2_Janev_10_05_2017.txt'
#   Performed calculation: Population Coefficient for state 'B1Sigma' coupled to the particle 'X1Sigma'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 25 calculated values between 1.0000 and 10.0000
#              T_n2: Fixed value 2000.0000
#              n_e: 25 calculated values between 1.0000e+17 and 1.0000e+19
#              n_i1: Fixed value 0.0000
#              n_n2: Fixed value 1.0000e+19

#   Additional variables: 
#              x: Fixed value 1.0000
#              y: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   8.2540        2.6102e+18    6.20270678e-24     
   8.2540        3.1623e+18    6.18549866e-24     
   8.2540        3.8312e+18    6.16770600e-24     
   8.2540        4.6416e+18    6.14895348e-24     
   8.2540        5.6234e+18    6.12878113e-24     
   8.2540        6.8129e+18    6.10664063e-24     
   8.2540        8.2540e+18    6.08188993e-24     
   8.2540        1.0000e+19    6.05378605e-24     
   9.0852        1.0000e+17    7.44771447e-24     
   9.0852        1.2115e+17    7.43442327e-24     
   9.0852        1.4678e+17    7.41993993e-24     
   9.0852        1.7783e+17    7.40429737e-24     
   9.0852        2.1544e+17    7.38755614e-24     
   9.0852        2.6102e+17    7.36980304e-24     
   9.0852        3.1623e+17    7.35114837e-24     
   9.0852        3.8312e+17    7.33172239e-24     
   9.0852        4.6416e+17    7.31167104e-24     
   9.0852        5.6234e+17    7.29115095e-24     
   9.0852        6.8129e+17    7.27032313e-24     
   9.0852        8.2540e+17    7.24934446e-24     
   9.0852        1.0000e+18    7.22835652e-24     
   9.0852        1.2115e+18    7.20747191e-24     
   9.0852        1.4678e+18    7.18675891e-24     
   9.0852        1.7783e+18    7.16622629e-24     
   9.0852        2.1544e+18    7.14580968e-24     
   9.0852        2.6102e+18    7.12536103e-24     
   9.0852        3.1623e+18    7.10464115e-24     
   9.0852        3.8312e+18    7.08331520e-24     
   9.0852        4.6416e+18    7.06094972e-24     
   9.0852        5.6234e+18    7.03701005e-24     
   9.0852        6.8129e+18    7.01085660e-24     
   9.0852        8.2540e+18    6.98173943e-24     
   9.0852        1.0000e+19    6.94879050e-24     
   10.0000       1.0000e+17    8.48373250e-24     
   10.0000       1.2115e+17    8.46801283e-24     
   10.0000       1.4678e+17    8.45087165e-24     
   10.0000       1.7783e+17    8.43234361e-24     
   10.0000       2.1544e+17    8.41249539e-24     
   10.0000       2.6102e+17    8.39142429e-24     
   10.0000       3.1623e+17    8.36925544e-24     
   10.0000       3.8312e+17    8.34613809e-24     
   10.0000       4.6416e+17    8.32224138e-24     
   10.0000       5.6234e+17    8.29774926e-24     
   10.0000       6.8129e+17    8.27285386e-24     
   10.0000       8.2540e+17    8.24774606e-24     
   10.0000       1.0000e+18    8.22260261e-24     
   10.0000       1.2115e+18    8.19756984e-24     
   10.0000       1.4678e+18    8.17274498e-24     
   10.0000       1.7783e+18    8.14815725e-24     
   10.0000       2.1544e+18    8.12375081e-24     
   10.0000       2.6102e+18    8.09937114e-24     
   10.0000       3.1623e+18    8.07475569e-24     
   10.0000       3.8312e+18    8.04952821e-24     
   10.0000       4.6416e+18    8.02319541e-24     
   10.0000       5.6234e+18    7.99514446e-24     
   10.0000       6.8129e+18    7.96463948e-24     
   10.0000       8.2540e+18    7.93081605e-24     
   10.0000       1.0000e+19    7.89267322e-24     
