particle,time,qx,qy,qz,py,pz,mp
38,114.71,188.10921249169263,0.3209079114916989,-0.381675454532019,-0.0004278043817937416,-0.0012080396091232,1.672621898e-27
68,114.71,188.2617626753917,0.2706632889692491,0.5675284710693883,0.0011228428250727,0.0014618644922792,1.672621898e-27
76,114.71,188.26739068973825,0.3369166321419629,0.2887821875944107,-0.0016983868502759,0.0021635870337492,1.672621898e-27
94,114.71,188.28732975403125,0.326953684449198,0.3139757937761419,-0.0017980991127098,0.0020804529492915,1.672621898e-27
98,114.71,188.1059113597589,0.3615781387342963,-0.6852224512629167,-0.0036755791272985,-0.001525018490905,1.672621898e-27
107,114.71,188.1478744588491,0.1189303290477058,0.1372730087460456,0.0021383336025261,0.0014015875628365,1.672621898e-27
148,115.13,188.97830799296224,0.0251976838584771,-0.3128952655382911,0.0037270082250801,-0.001550700885918,1.672621898e-27
150,114.71,188.03898318855516,0.0271354290849944,-0.3217652543933748,0.0039894168412617,-0.0015035665582419,1.672621898e-27
161,114.71,188.19371707815867,0.715902339074395,0.2822456341337596,-0.0025654552552876,-0.0004119825869946336,1.672621898e-27
164,115.13,188.19411687465657,-0.3124751039315044,-0.6559652935058154,0.005547933609997,-0.003013648450839,1.672621898e-27
193,114.71,188.28344157932435,0.3993202410897659,0.235012928350866,-0.0016850084294366,0.0017471286864956,1.672621898e-27
196,115.13,188.8593628805192,-0.2121378002686592,0.0844363981788834,0.0038621961739206,0.0004383986558781211,1.672621898e-27
199,115.13,188.09113668011943,-0.3624215516489003,-0.6685261805638417,0.0056182115842127,-0.003194647884444,1.672621898e-27
204,178.95,188.767172215942,-0.3213564968359859,0.0717418202226811,0.0123154690195731,-0.0022784840817644,1.672621898e-27
231,115.13,188.59808390540357,0.3302841516431163,-0.3096147182113592,-0.0006128787594790287,-0.0008347522768404778,1.672621898e-27
233,114.71,188.31716323034615,0.4006072423224739,-0.644067270774033,0.0011613939225416,-0.002186877792105,1.672621898e-27
235,115.54,188.2431901646467,-0.7205428953535014,-0.5971183437297746,0.0071604641423507,-0.0023747446856272,1.672621898e-27
245,115.13,188.8544742766096,0.2254418614726213,-0.1499401360106642,0.000838161305210148,0.00018955206674188207,1.672621898e-27
257,115.54,188.74212370619657,-0.5186278185160916,-0.7864855947636793,0.0061182831043816,-0.0037939061080275,1.672621898e-27
265,115.13,188.7148414528772,-0.3348290081296424,0.0285574935336358,0.0040057400196783,-0.0008390064741992555,1.672621898e-27
267,114.71,188.10507470944972,0.3477158315932371,-0.838257108382088,-0.0027366138952856,-0.0025383127950475,1.672621898e-27
272,115.13,188.24706702760133,-0.5133236019518376,-0.2504595334933192,0.0049213278879711,-0.0007593466264493952,1.672621898e-27
279,114.71,188.0755157204028,-0.0458393064739642,0.0644866392411402,0.0025736614558235,-4.279801440602922e-05,1.672621898e-27
280,115.13,188.7043755428197,-0.2165790426997185,-0.2290265014205413,0.0044357894156805,-0.0009736517201642226,1.672621898e-27
291,115.13,188.40127751944397,-0.4329687023487871,-0.1127360590592636,0.0043437745197831,5.718350197818985e-05,1.672621898e-27
304,115.13,188.43491551973972,-0.481487642169515,0.1021650386483519,0.0044590609974272,3.308183618294659e-05,1.672621898e-27
325,114.71,188.40048327589184,0.2903910795246344,-0.4655672507951393,0.0002996994199432236,-0.0012529922246647,1.672621898e-27
326,115.13,188.53585456223496,-0.4060316933450895,0.1868641094829177,0.0042979293361312,1.966997979600244e-05,1.672621898e-27
328,114.71,188.09264450831196,0.8922689175583557,0.1279851739906043,-0.0035982928928605,0.00039464214595813626,1.672621898e-27
348,114.71,188.11744998384117,0.8861223511200677,0.1352690663816955,-0.0037732996506897,0.0002879441597724679,1.672621898e-27
391,115.13,188.96073787465497,0.4871957854067489,0.7852099217118457,-0.0028173499775097,0.0016661001784553,1.672621898e-27
396,114.71,188.1081636469599,0.0642371948688797,0.1124115295873247,0.0030130833295603,0.00017720630407350724,1.672621898e-27
400,115.13,188.6003562103052,0.5753773322657035,-0.3096712224332779,-0.0027521253124517,-0.00042419597274820267,1.672621898e-27
402,115.13,188.98159726704705,-0.0018690131467028,-0.3603116478555739,0.0037053685906416,-0.0018129956052769,1.672621898e-27
415,114.71,188.33575116242815,0.4893151951060104,0.2757740243515624,-0.0019675166096006,0.0009878764596252222,1.672621898e-27
433,114.71,188.3897317875592,0.2789346625957042,-0.4831549482054846,0.0003743621434449032,-0.0014483666544643,1.672621898e-27
444,114.71,188.3407985100147,0.4579828850649062,-0.6444457859019151,-0.0016630537396634,-0.002437367365997,1.672621898e-27
478,114.71,188.3574746649077,0.2641045601652521,0.3188860335070174,0.0011402981268533,0.0008424657610369288,1.672621898e-27
498,114.71,188.27389746665204,0.3907687286973529,0.1918849090311207,-0.0014272351394813,0.0015135115577657,1.672621898e-27
503,115.13,188.26095220097687,-0.5122525795038773,-0.2629264464171176,0.0048332521280145,-0.0009056991418989888,1.672621898e-27
532,115.13,188.7673145409012,-0.018444910012249,-0.5093852829594833,0.001747921764702,-0.0020258886508838,1.672621898e-27
542,114.71,188.4007168849524,0.4147183061980775,0.2047826138410575,-0.002028236886574,0.00013127041225558786,1.672621898e-27
549,115.13,188.7439427457396,0.7155311288395658,0.0852418753114432,-0.0023600647071799,0.0016406446740611,1.672621898e-27
