particle,time,qx,qy,qz,py,pz,mp
38,156.42,287.50410969563603,-0.25256989689624,-0.5703766385825023,-0.0036460968526521,-0.0014058162523906,1.672621898e-27
76,156.42,287.4853798600065,-0.2754084776533718,0.185479819818161,-0.0036011339897453,0.0005606918837017936,1.672621898e-27
94,156.42,287.51541193808833,-0.271887792249423,0.1979056821800316,-0.0037547227522423,0.000512142453710609,1.672621898e-27
107,156.42,287.07453132733974,-0.293863261430189,0.0495102037714151,-0.0002928555549217529,9.035381707441924e-05,1.672621898e-27
193,156.42,287.53184210964105,-0.3003563187433976,0.1553577885362096,-0.0042189328638862,0.0004660742506657996,1.672621898e-27
231,156.42,287.51636386183094,-0.2950991913594,-0.4669796371503605,-0.0039775907971845,-0.0011599199624664,1.672621898e-27
245,156.42,287.2849593450569,-0.2599535341217468,-0.3455003658240305,-0.0016628058939861,-0.0010067372182431,1.672621898e-27
415,156.42,287.58678738636115,-0.3682911808566238,0.5073773598677221,-0.0054509539830571,0.0013957734570726,1.672621898e-27
498,156.42,287.52056106765275,-0.2603947636691238,0.0878558275493133,-0.0036576358326454,0.00021969357632962947,1.672621898e-27
542,156.42,287.56793191569426,-0.2913149243335219,0.6316577922883079,-0.0041787985330345,0.0018682485323952,1.672621898e-27
549,156.42,287.6891216692108,-0.3085570631485252,-0.224788100277298,-0.0067548288414236,-0.0005358124965593301,1.672621898e-27
589,156.42,287.0812240636458,-0.2624140662808605,-0.3029806169567548,-0.0002691909053630333,-0.0009328139203840632,1.672621898e-27
592,156.42,287.2942280290558,-0.2415601430072587,-0.3092358123003942,-0.0017392147931676,-0.0008839283792667887,1.672621898e-27
692,156.42,287.2161496193376,-0.3059603151785953,0.5549138548560921,-0.002008897099254,0.0016763359928236,1.672621898e-27
782,156.42,287.07256265499547,-0.2930482279825952,-0.0733263567462622,-0.00028375739566788354,-0.00025753010260137256,1.672621898e-27
853,156.42,287.0162059133104,-0.3050501752770277,-0.2693548980702404,-0.0002730257685312275,-0.0008219783461428464,1.672621898e-27
980,156.42,287.61444842758146,-0.2860236790135199,0.0338371002584975,-0.0056945095733212,9.286271498137442e-06,1.672621898e-27
987,156.42,287.4873596387639,-0.238073995138677,-0.477358779116768,-0.0035480035618741,-0.0011884990386065,1.672621898e-27
994,156.42,287.6724872665073,-0.3198724163414781,-0.1475607003002032,-0.0068541609740743,-0.000395013636058785,1.672621898e-27
1049,156.42,287.67872804601853,-0.312264895061315,-0.2434152899292256,-0.0063709357850928,-0.0005620969992304392,1.672621898e-27
1095,156.84,287.9098230189378,-0.3309872578430849,-0.1038329904630036,0.0009163919174890924,-0.00033689376982019853,1.672621898e-27
1186,156.42,287.0337701498753,-0.3191560272937842,-0.5259102470040329,-0.0003871370955278534,-0.0013179779539812,1.672621898e-27
1239,156.42,287.52393202648847,-0.2834195465712074,0.226344374909881,-0.0038958357766232,0.0006528599007856609,1.672621898e-27
1248,156.42,287.61986519596405,-0.2835406702449061,-0.188988317214472,-0.0051937656591156,-0.0004732812730663381,1.672621898e-27
1314,156.84,287.94188709518073,-0.371166005415403,0.2322018602094454,0.000480546741403423,0.0007512266696426615,1.672621898e-27
1320,156.42,287.2170074782391,-0.2737565593327781,-0.4550333625843425,-0.001167329603766,-0.0013443774144724,1.672621898e-27
1335,156.42,287.4353951443257,-0.49041594027335,-0.7219004202341093,-0.0054215522770059,-0.0122060124573766,1.672621898e-27
1465,156.42,287.4964211070289,-0.2639678005450204,0.356801514474712,-0.0035206477503495,0.0009842870138001066,1.672621898e-27
1545,156.42,287.6488113263329,-0.2935962489161323,0.1952424343028204,-0.0064778787304251,0.0004687980523113695,1.672621898e-27
1560,156.42,287.5486617072602,-0.2914994078156539,0.2479761408043137,-0.0043099754978776,0.000706424294190453,1.672621898e-27
1566,156.42,287.5583483994344,-0.3523097639834778,0.2335539655141218,-0.0061317051401687,0.0007117333709168535,1.672621898e-27
1635,156.42,287.60645090703,-0.2703803434332213,-0.4089186854157217,-0.0048482201942927,-0.0008711070831167616,1.672621898e-27
1687,156.42,287.6504391190144,-0.2455126532096201,-0.1318506701562922,-0.0070034210540626,-0.0002941460624663433,1.672621898e-27
1690,156.42,287.68297938090166,-0.3167573431359674,-0.3835221955165153,-0.0063064360333081,-0.0009909529738889094,1.672621898e-27
1795,156.42,287.72566102654577,-0.2781388311993403,-0.382454484873856,-0.0067704029459435,-0.0011435172123931,1.672621898e-27
1945,156.42,287.6904613941172,-0.3091612533125235,-0.2589923095230407,-0.0067051013065622,-0.0006550013065249194,1.672621898e-27
1994,156.42,287.5375231927024,-0.2341508955325097,-0.6711142178864731,-0.0034937994159299,-0.0019330407052619,1.672621898e-27
2002,156.42,287.6279232640624,-0.3583944352491992,0.3819066858651752,-0.0074046705676898,0.0007331681275681929,1.672621898e-27
2013,156.42,287.45871717055354,-0.2483017599801451,-0.0454034348489533,-0.003037830908662,-0.0001013192136626112,1.672621898e-27
2024,156.42,287.32003073091977,-0.2468635027605039,-0.3610756785452998,-0.0019525405734275,-0.0010105459034397,1.672621898e-27
