particle,time,qx,qy,qz,py,pz,mp
6,115.96,188.73516147001607,-1.0420214500991425,-0.2958551917612848,0.0091557427406232,-0.0008658805150922702,1.672621898e-27
38,114.71,188.17301320346107,0.3031284564342134,-0.2420107228584215,-0.0013746550478093,0.0005191198906522701,1.672621898e-27
68,114.71,188.5229381727123,0.2278423530874179,0.5687765316938985,-0.00041340432135573366,0.0021586892115671,1.672621898e-27
76,114.71,188.0934046552352,0.3005979266476197,0.334135934660204,-0.0017011789103813,0.0020116308533916,1.672621898e-27
83,115.54,188.5883466750504,-0.3487884742980656,-1.1374093415477249,0.005045148863315,-0.0045982108680066,1.672621898e-27
94,114.71,188.15236913761387,0.3338708800724496,0.3652613971961571,-0.0018596719044783,0.0020602816915547,1.672621898e-27
98,114.71,188.0694897869277,0.4435471665135905,-0.6301564904002387,-0.0032467453532666,-0.000517416548022515,1.672621898e-27
107,114.71,188.1982590065796,0.1249189601372812,0.2190358970976018,0.0025792411628721,0.0021563913957182,1.672621898e-27
122,115.13,188.94299463893137,-0.0193409740992356,-1.0421344016815164,0.0013002364401221,-0.0028707379303041,1.672621898e-27
123,115.13,188.48726606512915,1.0914172025456224,0.0508418412039216,-0.0055547594728307,0.0012483419276973,1.672621898e-27
124,115.13,188.6010450397347,1.0738063026565414,0.0994394646356372,-0.0060777152126198,0.0004945682759302392,1.672621898e-27
136,115.13,188.8199893289909,0.9617543364618596,0.3836638934107518,-0.0050158939604518,0.0016782451173965,1.672621898e-27
148,115.13,188.9646139388157,0.0131032777163621,-0.2833182465569815,0.0047471952029039,-0.0010613394865067,1.672621898e-27
150,114.71,188.12461325380397,0.0214020866265603,-0.3044436581165521,0.0050248701543404,-0.0011491587638349,1.672621898e-27
157,115.96,188.0863036872398,-1.127538496034218,-0.0348822954999108,0.0104058972939119,0.0005193165556465824,1.672621898e-27
161,115.13,188.93570486480573,0.6044959106444767,0.3608726142762349,-0.0045141029060285,0.00018521332419800548,1.672621898e-27
164,115.13,188.57423570686208,-0.436954910970135,-0.6438855598205162,0.0051328243433929,-0.0027490524884442,1.672621898e-27
187,115.13,188.29974403406757,1.0942176098594432,-0.557654025427887,-0.0049472244182808,-0.0006843403159172639,1.672621898e-27
193,114.71,188.13744925101344,0.3722162451780553,0.3250189746661959,-0.0022037333019514,0.0019871974276535,1.672621898e-27
196,115.13,188.7768768022016,-0.1935788880074337,0.0911466322129126,0.0048382543297069,0.0007695905489477043,1.672621898e-27
